ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
56,"(1551.3493041992188, 597.1006774902344)","(1247.4742431640625, 356.70916748046875)","(554.4622497558594, 398.7595520019531)","(1559.3081665039062, 213.35903930664062)","(847.9835205078125, 695.8261413574219)","(888.2989807128906, 610.115478515625)","(673.4125671386719, 372.6611633300781)","(657.9820861816406, 437.3411407470703)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
57,"(1551.3087768554688, 596.4715270996094)","(1243.9979858398438, 357.58277893066406)","(553.4041748046875, 398.41160583496094)","(1559.898681640625, 212.38153076171875)","(844.7022705078125, 698.3540344238281)","(888.9421997070312, 614.0981140136719)","(672.9948425292969, 372.7322235107422)","(658.016845703125, 437.7183380126953)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
58,"(1551.3626708984375, 596.3181457519531)","(1244.6959228515625, 357.47979736328125)","(553.6504516601562, 398.2664489746094)","(1559.82421875, 212.33756256103516)","(842.86572265625, 699.833251953125)","(888.1221618652344, 611.4869384765625)","(672.8940124511719, 372.6871032714844)","(657.4563293457031, 437.45436096191406)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
59,"(1551.188720703125, 596.2391052246094)","(1244.7528076171875, 357.5006866455078)","(554.0538330078125, 398.05653381347656)","(1559.961669921875, 211.7958984375)","(844.3556213378906, 698.7333068847656)","(672.7549743652344, 372.86219787597656)","(657.5406799316406, 437.48255920410156)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
60,"(1550.674560546875, 596.8417358398438)","(1247.8851928710938, 357.1352233886719)","(1557.1884155273438, 215.49044036865234)","(855.0272216796875, 688.4285888671875)","(734.9832763671875, 965.5015258789062)","(845.7043151855469, 507.07872009277344)","(674.7435607910156, 370.1880340576172)","(659.2596740722656, 437.1884765625)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
61,"(1550.5987548828125, 596.9271850585938)","(1246.7775268554688, 357.2620086669922)","(552.9810485839844, 396.45599365234375)","(1557.7825927734375, 215.12771606445312)","(852.9034729003906, 691.2176208496094)","(847.4327697753906, 507.41925048828125)","(673.6953430175781, 369.3343200683594)","(658.4186096191406, 436.72865295410156)","(898.8457641601562, 630.2886962890625)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
62,"(1550.6536865234375, 596.8363952636719)","(1246.091552734375, 357.3545684814453)","(1557.35791015625, 215.43978118896484)","(851.3843078613281, 692.9291687011719)","(846.7794189453125, 507.20481872558594)","(673.8876342773438, 369.5009460449219)","(656.8692932128906, 436.4880676269531)","(898.8123474121094, 630.2131958007812)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
63,"(1550.6919555664062, 596.8436279296875)","(1247.3026733398438, 357.237548828125)","(1557.2079467773438, 215.41626739501953)","(850.3542175292969, 693.7989807128906)","(846.5868835449219, 507.35264587402344)","(673.7694091796875, 369.6745300292969)","(656.3690185546875, 436.76564025878906)","(898.6181945800781, 630.5504455566406)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
64,"(1550.4745483398438, 596.7958679199219)","(1247.272705078125, 357.0540771484375)","(1556.803466796875, 216.1354217529297)","(849.12890625, 694.1587829589844)","(845.3101501464844, 506.8502502441406)","(673.9633178710938, 370.68763732910156)","(655.609130859375, 436.58106994628906)","(898.6941528320312, 630.7074890136719)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
65,"(1550.5452270507812, 597.0240783691406)","(1556.1194458007812, 216.18468475341797)","(850.0664367675781, 693.1091613769531)","(845.85009765625, 507.0877380371094)","(673.9341125488281, 370.3515167236328)","(654.6069641113281, 435.45021057128906)","(898.8220520019531, 630.1869201660156)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
66,"(488.84815979003906, 212.75772857666016)","(1550.5014038085938, 597.1018676757812)","(548.22509765625, 397.50457763671875)","(1556.9664916992188, 215.8830337524414)","(847.8171691894531, 696.2100830078125)","(736.0739135742188, 964.998291015625)","(846.7361450195312, 508.14601135253906)","(675.136962890625, 370.3960266113281)","(655.1876525878906, 433.2952880859375)","(899.0953369140625, 629.5758972167969)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
67,"(489.07733154296875, 212.49796295166016)","(1550.7054443359375, 597.3887329101562)","(548.7566833496094, 397.19789123535156)","(1556.6870727539062, 215.5989532470703)","(847.0756530761719, 696.9479064941406)","(736.0287780761719, 964.9186706542969)","(846.9479370117188, 508.503662109375)","(675.1128845214844, 370.2940979003906)","(654.9065551757812, 433.14671325683594)","(899.0965881347656, 629.5911254882812)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
